Descripción del alimento principal,Descripción de la categoría,Energía (kcal),Proteína (g),Carbohidratos (g),"Azúcares, totales
(gramo)",Fibra dietética total (g),Grasa total (g),"Ácidos grasos, saturados totales (g)","Ácidos grasos, monoinsaturados totales (g)",Ácidos grasos poliinsaturados totales (g),Colesterol (mg),Retinol (mcg),"Vitamina A, RAE (mcg_RAE)","Caroteno, alfa (mcg)","Caroteno, beta (mcg)","Criptoxantina, beta (mcg)",Licopeno (mcg),Luteína + zeaxantina (mcg),Tiamina (mg),Riboflavina (mg),Niacina (mg),Vitamina B-6 (mg),Ácido fólico (mcg),"Folato, alimentos (mcg)","Folato, DFE (mcg_DFE)","Folato, total (mcg)","Colina, total (mg)",Vitamina B-12 (mcg),"Vitamina B-12, añadida
(mcg)",Vitamina C (mg),Vitamina D (D2 + D3) (mcg),Vitamina E (alfa-tocoferol) (mg),"Vitamina E, añadida
(mg)",Vitamina K (filoquinona) (mcg),Calcio (mg),Fósforo (mg),Magnesio (mg),"Hierro
(mg)","Zinc
(mg)",Cobre (mg),Selenio (mcg),Potasio (mg),Sodio (mg),Cafeína (mg),Teobromina (mg),Alcohol (gramos),"4:0
(gramo)","6:0
(gramo)","8:0
(gramo)","10:0
(gramo)","12:0
(gramo)","14:0
(gramo)","16:0
(gramo)","18:0
(gramo)","16:1
(gramo)","18:1
(gramo)","20:1
(gramo)","22:1
(gramo)","18:2
(gramo)","18:3
(gramo)","18:4
(gramo)","20:4
(gramo)","20:5 n-3
(gramo)","22:5 n-3
(gramo)","22:6 n-3
(gramo)","Agua
(gramo)"
Aceite de coco,Aderezos para ensaladas y aceites vegetales.,895,0,"0,84",0,0,"99,1","82,5","6,31","1,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,3",0,0,0,0,"0,11",0,"0,6",1,0,0,"0,05","0,02",0,0,0,0,0,0,0,"0,009","0,477","6,8","5,39","41,8","16,7","8,64","2,52","0,016","6,27","0,041",0,"1,69","0,02",0,0,0,0,0,"0,03"
Aceite de germen de trigo,Aderezos para ensaladas y aceites vegetales.,884,0,0,0,0,100,"18,8","15,1","61,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,"149,4",0,"24,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,1","16,6","0,5","0,5","14,6",0,0,"54,8","6,9",0,0,0,0,0,0
Aceite de girasol,Aderezos para ensaladas y aceites vegetales.,900,0,0,0,0,100,"8,99","63,4","20,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,2",0,0,0,0,"68,48",0,"6,9",0,0,0,0,0,0,0,0,0,0,0,0,"0,004",0,"0,001","0,005","0,004","0,049","4,48","2,99","0,122",63,"0,256","0,006","20,6","0,163",0,"0,002","0,002",0,0,0
aceite de linaza,Aderezos para ensaladas y aceites vegetales.,884,"0,11",0,0,0,"99,98",8976,18438,67849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,2",0,0,0,0,"0,47",0,"9,3",1,1,0,0,"0,07",0,0,0,0,0,0,0,0,0,0,"0,008","0,018","0,077","5,109",3367,"0,06",18316,0,"0,031",14327,53368,0,0,0,0,0,"0,12"
Aceite de maíz,Aderezos para ensaladas y aceites vegetales.,900,0,0,0,0,100,"13,4","27,7","52,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,2",0,0,0,0,"22,6",0,"1,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,034","11,1","1,58","0,091","27,2","0,365",0,"51,9","1,04",0,0,0,0,0,0
aceite de nuez,Aderezos para ensaladas y aceites vegetales.,884,0,0,0,0,100,"9,1","22,8","63,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,4",0,0,0,0,"0,4",0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,"0,1","22,2","0,4",0,"52,9","10,4",0,0,0,0,0,0
Aceite de oliva,Aderezos para ensaladas y aceites vegetales.,900,0,0,0,0,100,"15,52","68,42","9,469",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,3",0,0,0,0,"20,88",0,26,1,0,0,"0,56",0,0,0,1,2,0,0,0,"0,001",0,"0,001","0,001","0,001","0,013","12,19","2,617",1072,"66,99","0,284","0,001",8817,"0,638",0,"0,013",0,0,0,0
aceite de sésamo,Aderezos para ensaladas y aceites vegetales.,884,0,0,0,0,100,"14,2","39,7","41,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,2",0,0,0,0,"1,4",0,"13,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,9","4,8","0,2","39,3","0,2",0,"41,3","0,3",0,0,0,0,0,0
Aceite de soja,Aderezos para ensaladas y aceites vegetales.,900,0,0,0,0,100,"14,9","22,1","57,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,2",0,0,0,0,"12,2",0,"183,9",0,0,0,"0,05","0,01",0,0,0,0,0,0,0,0,0,0,0,0,"0,075","10,3","3,71","0,08","21,4","0,6",0,"50,9","6,62",0,0,0,0,0,0
Aceite industrial como ingrediente en los alimentos.,No incluido en una categoría de alimentos.,892,0,0,0,0,100,32672,31097,31812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,2",0,0,0,0,"10,5",0,"155,8",0,0,0,"0,04","0,01",0,0,0,0,0,0,0,0,0,0,0,0,"0,048",8407,"23,263","0,072",30664,"0,322","0,024",30114,1698,0,0,0,0,0,0
Aceite o grasa de mesa,Margarina,789,"0,29","0,18","0,17",0,"87,67","22,936",31106,25146,71,377,391,1,172,2,0,0,"0,003","0,006","0,004","0,563",0,2,2,2,"7,9",0,0,0,"0,9","13,11",0,"72,2",10,9,1,"0,1","0,02","0,002",0,12,296,0,0,0,"0,614","0,433","0,254","0,587","0,69","2,197",12534,4688,"0,485","29,94","0,408","0,002","22,348","2,793","0,004","0,032","0,007","0,012",0,"11,2"
Aceite vegetal,Aderezos para ensaladas y aceites vegetales.,900,0,0,0,0,100,13366,"42,38",38407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,2",0,0,0,0,"18,99",0,"100,5",0,0,0,"0,16",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,05",9596,"2,88","0,35",41292,"0,674","0,001",33999,"4,368",0,"0,003",0,0,0,0
aceitunas negras,"Aceitunas, encurtidos, verduras encurtidas.",116,"0,84","6,04",0,"1,6","10,9","2,279",7652,"0,629",0,0,17,0,198,0,0,510,"0,003",0,"0,037","0,009",0,0,0,0,"10,3",0,0,"0,9",0,"1,65",0,"1,4",88,3,4,"6,28","0,22","0,251","0,9",8,735,0,0,0,0,0,0,0,0,0,"1,73","0,318","0,15","7,47","0,032",0,"0,629",0,0,0,0,0,0,"79,99"
Aceitunas rellenas,"Aceitunas, encurtidos, verduras encurtidas.",141,"1,15","4,96",0,4,"12,9","2,3","8,86","0,661",0,0,25,2,272,48,0,340,"0,041",0,"0,103",0,0,0,0,0,"1,6",0,0,0,0,"3,78",0,"16,6",121,7,12,"0,31","0,09","0,107","0,9",43,1620,0,0,0,"0,01",0,0,"0,001",0,"0,003","1,87","0,323","0,151","8,64","0,031",0,"0,557","0,104",0,0,0,0,0,"76,7"
aceitunas verdes,"Aceitunas, encurtidos, verduras encurtidas.",145,"1,03","3,84","0,54","3,3","15,32","2,029",11314,1307,0,0,20,0,231,9,0,510,"0,021","0,007","0,237","0,031",0,3,3,3,"14,2",0,0,0,0,"3,81",0,"1,4",52,4,11,"0,49","0,04","0,12","0,9",42,1556,0,0,0,0,0,0,0,0,0,1691,"0,338","0,123","11,144","0,046",0,1215,"0,092",0,0,0,0,0,"75,28"
Aceitunas,"Aceitunas, encurtidos, verduras encurtidas.",116,"0,84","6,04",0,"1,6","10,9","2,279",7652,"0,629",0,0,17,0,198,0,0,510,"0,003",0,"0,037","0,009",0,0,0,0,"10,3",0,0,"0,9",0,"1,65",0,"1,4",88,3,4,"6,28","0,22","0,251","0,9",8,735,0,0,0,0,0,0,0,0,0,"1,73","0,318","0,15","7,47","0,032",0,"0,629",0,0,0,0,0,0,"79,99"
Acelgas,Otras verduras de color verde oscuro,44,"1,88","3,9","1,15","1,7","2,95","0,747",1013,"0,858",2,12,315,45,3612,0,0,10878,"0,038","0,089","0,396","0,115",0,11,11,11,19,0,0,"21,9",0,"2,38",0,"866,2",54,48,84,"1,88","0,38","0,186","0,9",395,352,0,0,0,"0,019","0,014","0,008","0,018","0,022","0,069","0,423","0,146","0,015","0,977","0,013",0,"0,763","0,095",0,"0,001",0,0,0,"89,28"
Achicoria,Ensaladas de lechuga y lechuga,23,"1,43","4,48","0,6","0,9","0,25","0,06","0,01","0,11",0,0,1,0,16,0,0,8832,"0,016","0,028","0,255","0,057",0,60,60,60,"10,9",0,0,8,0,"2,26",0,"255,2",19,40,13,"0,57","0,62","0,341","0,9",302,22,0,0,0,0,0,0,0,0,"0,003","0,052","0,003",0,"0,005",0,0,"0,093","0,016",0,0,0,0,0,"93,14"
Aderezar con ostras,Empanadas y otros artículos a base de cereales,189,"4,95","18,4","2,62","1,2","10,75","2,142",4692,3465,10,88,100,0,136,0,0,80,"0,148","0,113",1836,"0,07",19,13,46,32,"24,2","1,95",0,"1,8","0,4","1,34",0,"32,5",97,67,18,"2,42","10,02","0,723","12,5",136,503,0,0,0,"0,001",0,"0,005","0,005","0,006","0,026",1222,"0,795","0,036",4634,"0,026",0,3051,"0,318","0,012","0,006","0,044","0,003","0,033","64,01"
aderezo césar,Aderezos para ensaladas y aceites vegetales.,542,"2,17","3,3","2,81","0,5","57,85",8789,13504,32857,39,9,9,1,2,1,0,22,"0,01","0,01","0,04","0,025",0,2,2,2,"15,6","0,03",0,"0,3","0,1","4,74",0,"104,8",48,19,2,"1,08","0,11","0,01","1,6",29,1209,0,0,0,"0,015","0,006","0,001","0,005","0,008","0,032",5838,"2,466","0,03",13328,"0,138","0,002","28,97",3853,"0,001","0,009","0,008",0,"0,016","34,3"
Aderezo César,Aderezos para ensaladas y aceites vegetales.,110,"0,3","18,6","16,32","0,1","4,4","0,703","1,124","2,368",2,1,1,0,1,0,0,0,"0,01","0,01","0,04",0,0,2,2,2,"17,4","0,03",0,0,0,"0,71",0,1,24,19,2,"0,18","0,11","0,01","1,6",29,1148,0,0,0,"0,008","0,003","0,002","0,004","0,006","0,025","0,469","0,171","0,014",1009,"0,024","0,066","2,06","0,291","0,001",0,"0,005",0,"0,008","73,2"
Aderezo con carne y verduras,Empanadas y otros artículos a base de cereales,243,"7,94","20,36","2,96","1,3","14,56",4053,"6,3",3766,21,49,54,0,63,0,0,44,"0,256","0,156","3,149","0,13",29,14,62,42,"26,1","0,24",0,"1,2","0,6","0,9",0,13,94,82,17,"1,95","0,93","0,072","13,4",158,635,0,0,0,"0,003",0,"0,003","0,006","0,012","0,109",2537,1272,"0,286","5,918","0,108","0,002",3401,"0,26",0,"0,032","0,002","0,006","0,001","54,91"
Aderezo con pollo o pavo y verduras,Empanadas y otros artículos a base de cereales,217,"8,2","20,97","2,72","1,4","11,17","2,529",4686,3355,72,338,345,1,87,1,2,51,"0,19","0,262",2784,"0,122",24,50,90,74,"38,9","1,42",0,"2,9","0,4","1,01",0,18,100,96,17,"2,58","1,06","0,11","18,5",128,509,0,0,0,"0,002",0,"0,006","0,006","0,009","0,036",1543,"0,839","0,168",4467,"0,044",0,3023,"0,276",0,"0,05","0,001",0,0,"57,78"
aderezo de aguacate,Aderezos para ensaladas y aceites vegetales.,427,"1,9","7,36","6,67","0,1","43,33",5978,9423,23165,40,10,10,1,3,1,0,39,"0,02","0,05","0,14","0,01",0,4,4,4,"3,6","0,26",0,"0,2",0,"4,6",0,"96,7",34,31,7,"0,35","0,25","0,01","1,6",58,867,0,0,0,"0,016","0,009","0,006","0,012","0,013","0,089",4254,"1,58","0,091",9252,"0,08",0,20436,"2,73",0,0,0,0,0,"45,03"
Aderezo de arroz,Platos combinados de arroz,110,"1,98","17,61","0,71","0,6","3,29","0,663",1502,"0,984",0,28,31,0,41,0,0,20,"0,12","0,031",1045,"0,044",31,5,57,36,"3,8","0,02",0,"0,5","0,1","0,39",0,"5,9",19,31,8,"0,92","0,26","0,053","3,8",59,600,0,0,0,0,0,0,0,"0,001","0,006","0,379","0,258","0,005",1491,"0,005",0,"0,898","0,086",0,0,0,0,0,"75,43"
Aderezo de ensalada de col,Aderezos para ensaladas y aceites vegetales.,404,"0,85","22,4","21,23",0,"34,53",5343,7407,19362,41,16,17,2,4,1,0,48,"0,034","0,055","0,061","0,007",0,4,4,4,"14,6","0,09",0,"0,6",0,"3,08",0,"66,1",9,42,3,"0,33","0,16","0,018","4,8",35,850,0,0,0,"0,011",0,"0,028","0,012","0,006","0,028",3589,1392,"0,045",7092,"0,179","0,07","16,76",2551,0,"0,019","0,002","0,002","0,006","39,85"
Aderezo de frutas,Aderezos para ensaladas y aceites vegetales.,219,"2,51","12,42","9,67","0,1","17,97","10,329",3718,"0,795",53,165,165,0,0,0,0,3,"0,034","0,179","0,081","0,038",0,7,7,7,15,"0,21",0,"2,4","0,9","0,47",0,"1,7",90,74,9,"0,02","0,32","0,002","2,8",132,31,0,0,0,"0,371","0,308","0,194","0,459","0,547",1721,4733,1615,"0,332",4032,"0,033","0,002","0,38","0,065",0,"0,029","0,005","0,01",0,"66,46"
Aderezo de harina de maíz con pollo o pavo y verduras,Empanadas y otros artículos a base de cereales,237,"7,6","19,27","3,47","1,2","14,45","3,105",6227,4153,94,385,394,6,104,2,2,184,"0,13","0,291","2,103","0,127",14,52,76,66,"49,1","1,64",0,"3,2","0,7","1,63",0,"22,7",101,121,15,"2,48","1,03","0,088","14,2",147,561,0,0,0,"0,008","0,006","0,008","0,014","0,015","0,069",1922,"0,951","0,185",5967,"0,062",0,3728,"0,349",0,"0,054",0,"0,001",0,"56,4"
Aderezo de mostaza y miel,Aderezos para ensaladas y aceites vegetales.,464,"0,87","23,33","15,84","0,4","40,83",5,11458,"22,839",29,10,12,1,18,7,0,41,"0,039","0,023","0,061","0,017",0,5,5,5,"20,7","0,05",0,"0,2","0,1","3,53",0,70,12,22,5,"0,29","0,14","0,018",5,20,512,0,0,0,0,0,0,0,0,"0,003",3391,1368,"0,062","11,115","0,137","0,131","20,121","2,697",0,"0,012",0,0,"0,003","32,64"
Aderezo de queso azul o roquefort,Aderezos para ensaladas y aceites vegetales.,484,"1,37","4,77","3,48","0,4","51,1",8275,13279,27545,31,14,14,1,4,1,0,26,"0,01","0,1","0,1","0,037",0,5,5,5,"17,9","0,27",0,"0,7","0,1","4,28",0,"85,9",37,74,8,"0,09","0,21","0,009",1,88,642,0,0,0,"0,017","0,008","0,006","0,014","0,013","0,084","5,319","2,437","0,045","13,112","0,113",0,"24,317","3,196",0,"0,01",0,0,"0,003","39,71"
Aderezo de semillas de amapola,Aderezos para ensaladas y aceites vegetales.,399,"0,92","23,73","23,39","0,3","33,33",6061,8207,17326,15,50,51,0,8,0,0,0,"0,024","0,058","0,047","0,022",0,3,3,3,6,"0,09",0,"0,3","0,1","2,36",0,"50,2",59,49,9,"0,25","0,25","0,035","1,2",61,933,0,0,0,"0,156","0,093","0,046","0,102","0,119","0,4",3449,1465,"0,092","7,98","0,078","0,001",15297,1989,0,"0,01",0,0,0,"38,85"
aderezo de sésamo,Aderezos para ensaladas y aceites vegetales.,443,"3,1","8,6","8,32",1,"45,2","6,2","11,9","25,1",0,0,2,0,21,2,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,56,19,37,0,"0,6","0,1",0,"1,6",157,1000,0,0,0,0,0,0,0,0,0,"4,2","1,9",0,"11,9",0,0,"23,2",2,0,0,0,0,0,"39,2"
Aderezo de sésamo,Aderezos para ensaladas y aceites vegetales.,102,"0,39","9,99","9,16",0,"6,68","0,833",1725,3236,0,0,1,0,7,0,0,0,"0,012","0,008","0,094","0,055",0,3,3,3,"3,3",0,0,0,0,"4,28",0,"12,5",15,12,4,"0,25","0,06","0,019","1,6",90,891,0,0,0,0,0,0,0,0,"0,005","0,559","0,215","0,007","1,68","0,034","0,001",2775,"0,458",0,"0,002",0,0,0,"80,11"
Aderezo de tocino y tomate,Aderezos para ensaladas y aceites vegetales.,326,"1,8",2,2,"0,2",35,5435,8415,19584,4,4,11,0,92,52,2597,29,"0,04","0,02","0,7","0,08",0,0,0,0,"16,4","0,09",0,"8,8",0,4,0,"69,1",4,25,6,"0,27","0,2","0,03","1,6",108,905,0,0,0,"0,013","0,008","0,004","0,012","0,013","0,086",3786,1439,"0,111",8197,"0,067",0,17244,"2,304","0,003",0,0,0,0,"58,7"
Aderezo francés o catalina,Aderezos para ensaladas y aceites vegetales.,419,"0,87","18,79","17,43","2,4","39,07",6093,"8,91","22,952",0,0,23,0,232,92,373,0,"0,038","0,063","0,234","0,043",0,0,0,0,"4,6","0,14",0,0,0,5,0,"121,4",27,25,7,"0,32","0,12","0,02",0,108,661,0,0,0,"0,016",0,"0,002","0,002","0,004","0,029",4079,1624,"0,031",8619,"0,19","0,049",20041,"2,88",0,"0,014","0,001",0,0,"39,34"
Aderezo italiano cremoso,Aderezos para ensaladas y aceites vegetales.,268,"0,55","11,19","9,86",0,"24,63","3,55",6173,13005,4,2,4,0,20,2,14,3,"0,019","0,013","0,119","0,059",0,1,1,1,"7,1","0,02",0,"0,3",0,"2,19",0,"67,7",15,41,5,"0,27","0,08","0,019","2,2",81,966,0,0,0,"0,001","0,001","0,092","0,084","0,003","0,021","2,264","0,887","0,027",6004,"0,114","0,015",11205,1778,0,"0,01",0,0,"0,001","60,74"
Aderezo italiano,Aderezos para ensaladas y aceites vegetales.,240,"0,41","12,12","10,77",0,"21,12","2,948",5638,10748,0,0,2,0,21,2,16,0,"0,02",0,"0,131","0,064",0,0,0,0,"2,6",0,0,"0,4",0,"2,19",0,56,13,15,5,"0,26","0,07","0,019",2,84,993,0,0,0,0,0,"0,102","0,093","0,001","0,013",1849,"0,72","0,022",5484,"0,113","0,009",9243,1489,0,"0,007",0,0,0,"63,4"
Aderezo Mil Islas,Aderezos para ensaladas y aceites vegetales.,132,"0,55","29,27","16,83","3,3","1,45","0,198","0,342","0,63",5,0,1,0,0,13,1587,0,"0,236","0,049","0,261",0,0,12,12,12,"4,6",0,0,0,0,"0,75",0,"3,7",11,1,4,"0,28","0,09","0,178",2,122,788,0,0,0,0,0,0,0,"0,001","0,002","0,129","0,052","0,007","0,285","0,018","0,023","0,538","0,088",0,0,0,0,0,"66,14"
Aderezo o adobo coreano,Aderezos para ensaladas y aceites vegetales.,348,"3,17","12,66","10,2","0,5","31,41","4,172",13289,12062,0,0,0,0,0,0,0,6,"0,024","0,061","0,798","0,068",0,7,7,7,"8,2",0,0,"0,1",0,"5,69",0,"29,9",17,70,31,"0,74","0,4","0,029","2,8",182,1850,0,0,0,0,0,0,0,0,"0,015",2976,"0,918","0,107",12804,"0,246","0,104",10698,1346,0,"0,001",0,0,0,"46,32"
Aderezo para ensalada tipo mayonesa,Mayonesa,250,"0,65","14,78","10,02",0,"21,6",3396,5053,"12,187",19,5,5,0,6,4,0,28,"0,01","0,03","0,004","0,009",0,6,6,6,"14,6","0,04",0,0,0,"1,55",0,"42,2",5,13,2,"0,12","0,07","0,015","0,4",36,653,0,0,0,0,0,0,0,0,"0,018","2,202","0,986","0,025","4,917","0,067","0,033",10739,1422,0,"0,018",0,0,0,"61,22"
Aderezo para ensaladas,Aderezos para ensaladas y aceites vegetales.,160,"1,5",7,"5,65",0,14,"2,115",3273,"7,994",0,5,11,17,64,1,5,78,"0,01","0,01","0,02","0,03",0,6,6,6,16,"0,07",0,"0,4",0,"2,45",0,"3,5",6,7,2,"0,13","0,04",0,"1,6",36,833,0,0,0,"0,007","0,004","0,002","0,005","0,006","0,035",1475,"0,549","0,032","3,197","0,028",0,7039,"0,941",0,0,0,0,0,74
Aderezo ranch,Aderezos para ensaladas y aceites vegetales.,160,"1,5",7,"5,65",0,14,"2,115",3273,"7,994",0,5,11,17,64,1,5,78,"0,01","0,01","0,02","0,03",0,6,6,6,16,"0,07",0,"0,4",0,"2,45",0,"3,5",6,7,2,"0,13","0,04",0,"1,6",36,833,0,0,0,"0,007","0,004","0,002","0,005","0,006","0,035",1475,"0,549","0,032","3,197","0,028",0,7039,"0,941",0,0,0,0,0,74
aderezo ranchero,Aderezos para ensaladas y aceites vegetales.,430,"1,32","5,9","4,69",0,"44,54",6964,9202,25796,26,13,15,0,14,1,0,21,"0,015","0,087","0,054","0,03",0,4,4,4,"32,8","0,17",0,0,"0,1","2,22",0,"134,3",28,186,5,"0,3","0,17","0,019","3,5",64,810,0,0,0,"0,006","0,004","0,037","0,036","0,013","0,067",4619,1836,"0,056","8,949","0,123","0,048","22,324",3415,0,"0,03",0,0,"0,004","45,68"
aderezo ruso,Aderezos para ensaladas y aceites vegetales.,355,"0,69","31,9","17,68","0,7","26,18","2,39",5928,"14,83",0,0,29,2,320,49,3576,173,"0,029","0,046","0,594","0,097",0,5,5,5,"4,6",0,0,6,0,"3,32",0,"53,7",13,20,10,"0,6","0,22","0,058","1,6",173,1133,0,0,0,0,0,0,0,"0,002","0,021",1731,"0,636","0,053",5824,"0,051",0,13089,1741,0,0,0,0,0,"38,53"
Aderezo Thousand Island,Aderezos para ensaladas y aceites vegetales.,195,"0,83","24,06","17,31","1,2","11,32","0,746",6468,"2,692",11,0,16,0,154,65,3097,100,"0,049","0,043","0,437",0,0,0,0,0,16,0,0,"1,5",0,1,0,"27,6",27,14,7,"0,9","0,19",0,0,202,955,0,0,0,0,0,0,0,0,0,"0,524","0,223",0,6285,"0,183",0,1955,"0,737",0,0,0,0,0,"60,73"
